,id,spoken_languages
367,17402,english
368,38722,english
369,38722,español
370,8438,english
371,11593,český
372,11593,english
373,11593,magyar
374,1945,english
375,39310,english
376,109560,english
377,109560,广州话 / 廣州話
378,56428,english
379,63105,english
380,131957,english
381,241,english
382,241,
383,241,日本語
384,9058,english
385,527,english
386,527,
387,18220,english
388,6950,english
389,6950,한국어/조선말
390,6950,français
391,101,english
392,63020,english
393,2307,english
394,680,english
395,680,español
396,680,français
397,41478,english
398,25296,english
399,25296,普通话
400,40156,english
401,11450,english
402,30304,
403,30304,english
404,30304,日本語
405,10452,français
406,10452,italiano
407,12106,english
408,161495,english
409,3586,français
410,3586,italiano
411,3586,pусский
412,3586,español
413,3586,english
414,110,français
415,108,français
416,108,polski
417,109,français
418,109,magyar
419,109,polski
420,159185,普通话
421,36357,english
422,92769,english
423,28033,english
424,22586,english
425,14334,english
426,14334,gaeilge
427,2636,english
428,2164,english
429,2164,norsk
430,2164,svenska
431,11395,english
432,278,english
433,9905,english
434,87078,english
435,12527,español
436,20306,english
437,36614,english
438,27993,english
439,27993,deutsch
440,31439,普通话
441,9067,english
442,9059,english
443,193,english
444,25066,english
445,46797,english
446,12122,english
447,11381,english
448,32636,english
449,36141,english
450,95963,english
451,1587,english
452,9271,english
453,2064,english
454,19855,english
455,60855,广州话 / 廣州話
456,60855,english
457,236,english
458,48287,english
459,3049,english
460,2759,english
461,12635,english
462,12635,français
463,12635,deutsch
464,12635,pусский
465,10497,français
466,10497,english
467,11382,english
468,9331,english
469,10731,english
470,10464,english
471,10464,français
472,34152,english
473,9495,english
474,29973,english
475,888,english
476,13,english
477,712,english
478,16295,english
479,48992,english
480,48992,español
481,10879,english
482,10879,français
483,10660,english
484,10714,english
485,10714,slovenčina
486,41647,deutsch
487,8587,english
488,1689,english
489,11596,english
490,854,svenska
491,854,english
492,9359,english
493,23333,english
494,36593,english
495,12280,english
496,2788,english
497,10427,english
498,11011,english
499,11011,latin
500,49803,english
501,8987,english
502,1637,english
503,15128,english
504,8831,english
505,36955,english
506,36955,français
507,36955,العربية
508,36955,deutsch
509,10449,english
510,10449,français
511,10449,tiếng việt
512,10395,english
513,12160,english
514,40480,english
515,52038,english
516,29444,english
517,26352,english
518,39953,english
519,41580,français
520,315,english
521,22067,english
522,18242,english
523,11667,english
524,11667,日本語
525,32502,english
526,28732,english
527,75555,english
528,278939,english
529,291731,english
530,226229,english
531,203119,english
532,8011,english
533,2654,english
534,18069,english
535,18069,français
536,19092,english
537,2758,english
538,38129,english
539,10436,english
540,10436,italiano
541,13595,english
542,46094,english
543,9409,english
544,11853,english
545,11853,pусский
546,16771,español
547,16771,english
548,46924,english
549,46924,
550,11041,english
551,306,english
552,14522,english
553,26203,english
554,178,english
555,19819,english
556,57834,français
557,57834,english
558,4722,english
559,18215,english
560,1607,english
561,1607,italiano
562,26391,english
563,117553,english
564,6075,english
565,6075,español
566,11310,english
567,11310,italiano
568,11310,pусский
569,18658,english
570,9350,english
571,9612,english
572,2124,český
573,2124,english
574,26261,english
575,26261,magyar
576,19176,english
577,49299,english
578,11566,english
579,9571,english
580,9739,english
581,24257,english
582,34444,english
583,34444,deutsch
584,26141,english
585,26141,
586,10997,普通话
587,50463,english
588,10443,english
589,20239,english
590,16297,english
591,18551,english
592,25440,english
593,9024,english
594,37233,english
595,1634,english
596,13815,english
597,5503,english
598,35588,english
599,35588,français
600,2087,english
601,41579,english
602,18620,english
603,41006,english
604,4916,english
605,2019,english
606,31642,english
607,31642,tiếng việt
608,9255,english
609,26271,english
610,10612,english
611,2259,español
612,2259,english
613,16097,english
614,11934,english
615,106143,english
616,12475,english
617,9386,english
618,7984,english
619,59930,english
620,15765,english
621,31643,english
622,31643,français
623,6,english
624,329,english
625,329,español
626,10909,english
627,507,english
628,507,français
629,34024,english
630,29918,english
631,9593,english
632,42580,english
633,22317,english
634,22317,deutsch
635,1413,english
636,12121,english
637,2246,english
638,10502,english
639,10440,english
640,9516,english
641,2320,english
642,5879,日本語
643,83718,english
644,11971,english
645,2625,english
646,31911,english
647,788,english
648,21450,english
649,11231,english
650,41588,english
651,10447,english
652,31586,english
653,9300,english
654,9559,english
655,9800,english
656,713,english
657,713,
658,8291,english
659,8291,français
660,18133,english
661,25557,english
662,22588,english
663,10872,english
664,1245,english
665,11858,english
666,11858,español
667,7007,日本語
668,7007,english
669,10467,english
670,5550,english
671,5550,日本語
672,8005,english
673,2088,english
674,10412,português
675,10412,deutsch
676,10412,english
677,10412,日本語
678,10412,tiếng việt
679,47889,english
680,14534,english
681,14534,español
682,56583,english
683,41878,français
684,41878,deutsch
685,41878,español
686,424,deutsch
687,424,polski
688,424,עִבְרִית
689,424,english
690,35233,english
691,14291,english
692,103413,english
693,11236,english
694,11592,english
695,8850,english
696,10445,english
697,695,english
698,43535,english
699,12519,english
700,23210,english
701,858,english
702,867,english
703,78,english
704,78,deutsch
705,78,广州话 / 廣州話
706,78,日本語
707,78,magyar
708,13203,english
709,10442,pусский
710,10442,english
711,11074,english
712,33367,english
713,9607,english
714,17585,english
715,9057,english
716,20967,français
717,20967,english
718,10635,english
719,9479,english
720,10057,english
721,11969,english
722,11969,latin
723,11969,español
724,41590,english
725,319,english
726,319,italiano
727,26408,english
728,15139,dansk
729,15139,english
730,15139,français
731,15139,deutsch
732,15139,español
733,161158,english
734,85247,english
735,11446,english
736,51980,français
737,24405,english
738,11655,english
739,11655,español
740,11800,english
741,8223,español
742,14587,english
743,14587,हिन्दी
744,31504,english
745,41653,svenska
746,53185,english
747,95743,english
748,23637,italiano
749,17600,english
750,10897,english
751,21352,english
752,68806,italiano
753,37345,english
754,32562,english
755,47507,français
756,25403,العربية
757,25403,english
758,25403,italiano
759,25403,普通话
760,9066,italiano
761,9066,deutsch
762,9066,english
763,9066,magyar
764,771,english
765,251,english
766,812,english
767,280,english
768,280,español
769,581,english
770,80350,english
771,268,english
772,268,français
773,274,english
774,408,english
775,10020,français
776,10020,english
777,10895,english
778,114,english
779,114,italiano
780,114,日本語
781,41043,français
782,41043,pусский
783,576,english
784,576,deutsch
785,576,español
786,15477,english
787,59146,普通话
788,30528,english
789,7300,english
790,10824,english
791,261246,english
792,275,english
793,11827,english
794,11827,magyar
795,8766,english
796,23570,english
797,47333,english
798,47333,français
799,51242,italiano
800,10112,english
801,4307,español
802,46029,english
803,32308,english
804,88893,italiano
805,88893,english
806,52873,français
807,123505,english
808,340210,english
809,44281,العربية
810,28121,english
811,12520,english
812,1592,english
813,1592,español
814,166901,english
815,36447,english
816,19042,english
817,38884,català
818,38884,english
819,38884,español
820,47449,english
821,36259,english
822,41852,english
823,40926,english
824,9099,english
825,2021,english
826,61752,english
827,10988,english
828,11479,français
829,398959,deutsch
830,339428,deutsch
831,12652,français
832,10684,english
833,954,english
834,954,français
835,954,český
836,68445,deutsch
837,68445,íslenska
838,68445,日本語
839,68445,english
840,18989,english
841,10801,deutsch
842,54285,한국어/조선말
843,8840,english
844,278978,deutsch
845,124625,english
846,124625,deutsch
847,11107,english
848,11107,italiano
849,16417,afrikaans
850,16417,english
851,10363,english
852,10363,français
853,10363,italiano
854,161070,english
855,10539,english
856,10543,english
857,18414,english
858,47502,english
859,11902,english
860,11902,français
861,11902,deutsch
862,11902,pусский
863,11902,srpski
864,27098,deutsch
865,27098,svenska
866,27098,english
867,25087,english
868,5801,বাংলা
869,896,বাংলা
870,3065,english
871,318177,english
872,2300,english
873,8069,english
874,288173,español
875,288173,english
876,221917,english
877,8072,français
878,35797,english
879,35797,français
880,88030,english
881,88030,português
882,83857,english
883,33245,english
884,33245,pусский
885,124460,english
886,27281,english
887,27281,tiếng việt
888,105045,deutsch
889,40001,english
890,29621,english
891,117730,עִבְרִית
892,20762,italiano
893,20762,english
894,37144,english
895,48260,english
896,12656,english
897,38867,english
898,25969,english
899,44103,nederlands
900,44103,français
901,44103,latin
902,44103,español
903,753,english
904,43634,english
905,43634,español
906,9103,english
907,90214,english
908,29649,english
909,10990,english
910,8866,english
911,12233,english
912,23449,english
913,36355,english
914,37667,english
915,90148,english
916,90148,español
917,922,english
918,922,español
919,11876,français
920,11876,italiano
921,52633,english
922,62364,español
923,11687,français
924,9304,english
925,131232,italiano
926,9100,english
927,20759,english
928,46063,english
929,32513,english
930,40651,english
931,40651,deutsch
932,36915,english
933,40507,español
934,40507,english
935,9802,english
936,25697,english
937,21588,english
938,21588,italiano
939,664,english
940,11867,english
941,47119,français
942,314352,deutsch
943,9323,日本語
944,10280,english
945,10535,english
946,124613,english
947,532,english
948,26744,english
949,26744,français
950,16299,english
951,10547,english
952,245268,english
953,935,english
954,55613,deutsch
955,55613,english
956,41007,english
957,35645,english
958,110465,english
959,255546,english
960,255546,português
961,40751,广州话 / 廣州話
962,40751,普通话
963,85778,english
964,11101,deutsch
965,11101,pусский
966,9826,english
967,9879,english
968,63564,english
969,22621,english
970,7095,english
971,26890,english
972,46732,english
973,124633,english
974,124633,srpski
975,202425,français
976,77771,العربية
977,77771,français
978,77771,wolof
979,181083,français
980,41225,english
981,41225,français
982,41225,deutsch
983,41225,italiano
984,87190,english
985,627,english
986,32872,english
987,32872,français
988,602,english
989,14553,english
990,9566,english
991,10545,latin
992,10545,english
993,9894,english
994,11543,english
995,9268,english
996,9327,english
997,123763,español
998,81949,english
999,81949,română
1000,42005,magyar
1001,183955,
1002,44535,english
1003,44495,english
1004,78285,français
1005,11228,english
1006,10779,english
1007,26748,english
1008,26748,español
1009,38223,english
1010,9294,english
1011,49963,english
1012,11363,english
1013,11363,français
1014,1645,english
1015,31546,english
1016,77056,français
1017,36344,english
1018,18550,english
1019,11511,english
1020,172198,magyar
1021,34170,english
1022,281085,english
1023,109478,english
1024,124645,english
1025,12606,english
1026,35206,français
1027,151489,cymraeg
1028,4837,français
1029,4837,english
1030,12632,deutsch
1031,9098,deutsch
1032,124614,english
1033,18975,english
1034,18975,italiano
1035,11962,english
1036,2925,english
1037,28628,english
1038,3595,english
1039,9308,english
1040,92381,english
1041,18555,english
1042,12123,english
1043,10830,english
1044,3573,english
1045,10546,english
1046,10546,deutsch
1047,18862,english
1048,31417,français
1049,9431,english
1050,9431,español
1051,297645,普通话
1052,48144,普通话
1053,46986,english
1054,46986,deutsch
1055,46986,日本語
1056,144982,english
1057,47907,english
1058,10061,english
1059,36266,tiếng việt
1060,549,english
1061,549,español
1062,10478,english
1063,66634,english
1064,116690,日本語
1065,213917,français
1066,145925,italiano
1067,238,english
1068,238,italiano
1069,238,latin
1070,159,deutsch
1071,11134,广州话 / 廣州話
1072,11134,english
1073,11134,bahasa melayu
1074,11134,ภาษาไทย
1075,88224,english
1076,132641,日本語
1077,42758,english
1078,9303,english
1079,23945,english
1080,37820,english
1081,22479,english
1082,9054,english
1083,241058,english
1084,11985,普通话
1085,10232,deutsch
1086,59569,english
1087,38955,广州话 / 廣州話
1088,110513,english
1089,11015,english
1090,9306,english
1091,12559,english
1092,12559,français
1093,12559,español
1094,58770,english
1095,3587,english
1096,10723,english
1097,56077,english
1098,19004,english
1099,101230,nederlands
1100,101230,english
1101,10987,english
1102,44705,english
1103,44705,español
1104,20318,english
1105,20318,deutsch
1106,20318,
1107,43596,deutsch
1108,79782,polski
1109,26933,français
1110,27854,español
1111,27854,english
1112,981,english
1113,872,english
1114,2769,english
1115,2769,français
1116,2769,deutsch
1117,13320,english
1118,164,english
1119,164,português
1120,426,english
1121,567,english
1122,3078,english
1123,13528,english
1124,28288,english
1125,28288,français
1126,28288,italiano
1127,213,english
1128,284,english
1129,239,english
1130,4808,english
1131,4808,français
1132,4808,deutsch
1133,4808,italiano
1134,289,deutsch
1135,289,français
1136,289,italiano
1137,289,english
1138,963,english
1139,11113,english
1140,6620,english
1141,6620,italiano
1142,804,english
1143,804,italiano
1144,26531,english
1145,909,english
1146,630,english
1147,770,english
1148,31044,english
1149,599,english
1150,15,english
1151,62,english
1152,62,pусский
1153,121357,english
1154,121357,deutsch
1155,705,english
1156,705,français
1157,22490,english
1158,22490,français
1159,223,english
1160,223,français
1161,25670,nederlands
1162,25670,english
1163,25670,latviešu
1164,303,english
1165,4174,english
1166,8356,english
1167,8356,français
1168,8356,italiano
1169,8356,português
1170,381,français
1171,381,english
1172,20758,italiano
1173,20758,english
1174,29376,français
1175,29376,english
1176,1859,english
1177,18299,english
1178,18299,français
1179,17281,english
1180,17281,français
1181,64382,english
1182,10907,english
1183,32093,english
1184,32093,español
1185,1939,english
1186,22292,english
1187,3598,english
1188,3598,普通话
1189,3598,español
1190,3080,english
1191,3080,italiano
1192,198,english
1193,13562,english
1194,13562,magyar
1195,1712,english
1196,1712,español
1197,220,english
1198,3529,english
1199,3085,english
1200,2897,english
1201,2897,español
1202,2897,français
1203,1585,english
1204,3083,english
1205,900,english
1206,43795,english
1207,85638,english
1208,50001,english
1209,43905,english
1210,22688,english
1211,23114,english
1212,26378,english
1213,40206,english
1214,22356,english
1215,260,english
1216,43488,english
1217,43488,italiano
1218,22613,english
1219,22613,español
1220,10331,english
1221,488,english
1222,488,deutsch
1223,488,kiswahili
1224,22733,italiano
1225,22733,english
1226,261,english
1227,57575,english
1228,57575,magyar
1229,32574,english
1230,22657,english
1231,22657,español
1232,76464,english
1233,22649,english
1234,176841,english
1235,39448,广州话 / 廣州話
1236,39448,english
1237,52855,english
1238,52855,polski
1239,39940,english
1240,85328,english
1241,11076,english
1242,63945,english
1243,58985,english
1244,890,deutsch
1245,10861,english
1246,1770,english
1247,44465,english
1248,2033,english
1249,18203,english
1250,9333,english
1251,47260,english
1252,9400,english
1253,9401,english
1254,9401,tiếng việt
1255,12241,english
1256,12241,español
1257,11306,english
1258,9625,english
1259,10680,english
1260,6346,english
1261,6346,polski
1262,18660,english
1263,18660,deutsch
1264,35115,español
1265,35115,english
1266,14821,english
1267,14136,español
1268,14136,english
1269,14136,广州话 / 廣州話
1270,10869,english
1271,22660,english
1272,19186,english
1273,31102,english
1274,6878,english
1275,15944,english
1276,18444,english
1277,18444,italiano
1278,20723,english
1279,173,english
1280,864,english
1281,864,français
1282,864,deutsch
1283,864,pусский
1284,24795,english
1285,24795,français
1286,24795,italiano
1287,24795,español
1288,11224,english
1289,81310,english
1290,15947,english
1291,15947,português
1292,15947,español
1293,9078,english
1294,29682,english
1295,8367,english
1296,433,english
1297,11360,english
1298,11114,english
1299,12335,english
1300,12092,english
1301,10948,english
1302,11229,english
1303,15121,english
1304,15121,français
1305,15121,italiano
1306,562,english
1307,562,deutsch
1308,562,italiano
1309,10163,english
1310,48862,english
1311,117036,english
1312,47199,english
1313,11159,english
1314,9591,english
1315,30500,english
1316,41843,english
1317,41843,deutsch
1318,55058,english
1319,10938,english
1320,11412,english
1321,10586,english
1322,42314,english
1323,27845,italiano
1324,27845,english
1325,108365,english
1326,108365,français
1327,23223,english
1328,49471,english
1329,38153,english
1330,38153,magyar
1331,25147,latin
1332,25147,english
1333,9716,english
1334,43777,español
1335,454,english
1336,10218,english
1337,819,english
1338,38191,english
1339,11238,english
1340,27256,english
1341,31530,english
1342,31530,français
1343,66473,english
1344,28120,english
1345,1834,english
1346,26282,日本語
1347,26282,广州话 / 廣州話
1348,26282,english
1349,37218,english
1350,252,english
1351,252,français
1352,252,deutsch
1353,116356,français
1354,16372,english
1355,11561,english
1356,11561,
1357,11302,
1358,11302,english
1359,623,english
1360,623,italiano
1361,623,pусский
1362,583,english
1363,12614,english
1364,12614,français
1365,21711,english
1366,11575,english
1367,11575,italiano
1368,475,english
1369,11331,english
1370,521,english
1371,21202,italiano
1372,88,english
1373,500,english
1374,792,english
1375,792,tiếng việt
1376,8491,english
1377,402,english
1378,10537,english
1379,11386,english
1380,9504,english
1381,15764,český
1382,15764,english
1383,15764,français
1384,15764,deutsch
1385,15764,polski
1386,15764,pусский
1387,601,english
1388,67365,english
1389,25842,english
1390,2119,english
1391,744,english
1392,136311,english
1393,221,english
1394,702,english
1395,25750,english
1396,17642,english
1397,427043,deutsch
1398,146341,български език
1399,146341,english
1400,9305,français
1401,37616,english
1402,11112,english
1403,21612,italiano
1404,21612,english
1405,102461,français
1406,36998,français
1407,200383,english
1408,200383,français
1409,116844,english
1410,1630,english
1411,26626,english
1412,11816,english
1413,11843,english
1414,10379,english
1415,2756,english
1416,790,english
1417,1103,english
1418,11298,english
1419,4480,italiano
1420,4480,français
1421,4481,français
1422,49688,español
1423,10765,english
1424,762,français
1425,762,latin
1426,762,english
1427,44497,english
1428,278621,english
1429,55049,français
1430,79306,english
1431,10548,english
1432,531,english
1433,104931,pусский
1434,104931,français
1435,104931,deutsch
1436,104931,english
1437,104931,italiano
1438,4483,français
1439,18919,český
1440,18919,latin
1441,31556,english
1442,26167,english
1443,26174,english
1444,26174,italiano
1445,61461,italiano
1446,117500,français
1447,127973,english
1448,659,deutsch
1449,659,עִבְרִית
1450,659,italiano
1451,659,polski
1452,659,pусский
1453,30892,latin
1454,30892,english
1455,30892,français
1456,30892,italiano
1457,30892,deutsch
1458,8074,français
1459,38554,english
1460,49763,english
1461,41326,english
1462,36555,english
1463,10608,english
1464,11216,italiano
1465,7452,english
1466,64567,english
1467,64567,français
1468,892,français
1469,1600,français
1470,1600,italiano
1471,1600,polski
1472,26561,english
1473,26561,italiano
1474,975,english
1475,975,deutsch
1476,975,latin
1477,18129,english
1478,54405,english
1479,150823,english
1480,409,deutsch
1481,409,italiano
1482,409,العربية
1483,409,english
1484,38251,ελληνικά
1485,38251,italiano
1486,38251,español
1487,10161,english
1488,1412,english
1489,41768,english
1490,10409,español
1491,10409,english
1492,14285,english
1493,2469,español
1494,10174,english
1495,10174,français
1496,31225,english
1497,510,english
1498,11455,english
1499,1891,english
1500,2493,english
1501,85,english
1502,85,español
1503,85,deutsch
1504,85,עִבְרִית
1505,85,العربية
1506,85,
1507,68,english
1508,679,english
1509,429,italiano
1510,13446,english
1511,389,english
1512,947,العربية
1513,947,english
1514,947,türkçe
1515,185,english
1516,595,english
1517,28,
1518,28,english
1519,28,français
1520,28,tiếng việt
1521,335,english
1522,1892,english
1523,144,english
1524,144,français
1525,144,deutsch
1526,1092,english
1527,1092,pусский
1528,1092,deutsch
1529,769,italiano
1530,769,english
1531,348,english
1532,348,español
1533,766,english
1534,175,english
1535,175,français
1536,175,italiano
1537,11645,日本語
1538,10835,广州话 / 廣州話
1539,10835,日本語
1540,10835,普通话
1541,539,english
1542,525,english
1543,240,english
1544,240,italiano
1545,240,latin
1546,240,español
1547,600,english
1548,600,tiếng việt
1549,530,english
1550,10705,english
1551,10705,français
1552,279,english
1553,279,deutsch
1554,279,italiano
1555,279,latin
1556,3109,english
1557,3109,gaeilge
1558,311,english
1559,311,français
1560,311,italiano
1561,1578,english
1562,703,english
1563,703,deutsch
1564,9549,english
1565,9549,pусский
1566,1398,pусский
1567,387,deutsch
1568,387,english
1569,387,français
1570,9277,english
1571,343,english
1572,37291,english
1573,490,svenska
1574,11235,english
1575,218,english
1576,763,english
1577,9665,english
1578,18971,english
1579,696,english
1580,379,
1581,379,italiano
1582,379,
1583,379,english
1584,207,english
1585,37247,english
1586,1480,english
1587,1480,español
1588,9322,english
1589,9322,français
1590,9322,italiano
1591,826,日本語
1592,826,ภาษาไทย
1593,826,english
1594,422,deutsch
1595,422,english
1596,422,français
1597,422,italiano
1598,829,español
1599,829,广州话 / 廣州話
1600,829,english
1601,828,english
1602,828,français
1603,828,हिन्दी
1604,828,pусский
1605,3090,english
1606,9964,english
1607,3063,english
1608,13667,english
1609,13667,magyar
1610,694,english
1611,235,english
1612,832,deutsch
1613,765,english
1614,5925,english
1615,5925,deutsch
1616,5925,français
1617,5925,pусский
1618,11778,english
1619,11778,français
1620,11778,pусский
1621,11778,tiếng việt
1622,4485,english
1623,4485,français
1624,4485,italiano
1625,137,english
1626,137,français
1627,137,italiano
1628,33,english
1629,982,english
1630,8428,english
1631,212,english
1632,212,deutsch
1633,105,english
1634,1633,english
1635,11202,english
1636,1554,english
1637,1554,italiano
1638,149,日本語
1639,8009,english
1640,903,english
1641,11673,français
1642,3034,english
1643,3034,deutsch
1644,339,english
1645,339,suomi
1646,339,français
1647,339,deutsch
1648,339,italiano
1649,10404,普通话
1650,914,english
1651,914,esperanto
1652,756,english
1653,288,english
1654,910,english
1655,2640,english
1656,2640,italiano
1657,16633,english
1658,665,english
1659,11031,english
1660,11314,english
1661,15143,english
1662,89,deutsch
1663,89,ελληνικά
1664,89,english
1665,10322,english
1666,783,english
1667,783,हिन्दी
1668,10644,english
1669,11257,english
1670,11257,italiano
1671,14370,english
1672,12104,english
1673,625,português
1674,625,english
1675,625,français
1676,625,magyar
1677,625,
1678,8816,svenska
1679,830,english
1680,2323,english
1681,983,english
1682,642,english
1683,642,español
1684,655,english
1685,10341,english
1686,10341,français
1687,10341,deutsch
1688,10341,italiano
1689,10341,日本語
1690,639,english
1691,266022,english
1692,168450,english
1693,30180,english
1694,31388,english
1695,41801,english
1696,66034,english
1697,348138,english
1698,61536,english
1699,18762,english
1700,8077,english
1701,814,english
1702,41671,english
1703,41671,português
1704,27214,english
1705,52263,english
1706,33519,english
1707,16235,english
1708,11449,english
1709,41848,english
1710,41848,italiano
1711,25944,english
1712,24913,english
1713,49126,english
1714,32076,english
1715,32076,español
1716,571,english
1717,8851,english
1718,37843,english
1719,32146,english
1720,30346,english
1721,6114,latin
1722,6114,română
1723,6114,български език
1724,6114,ελληνικά
1725,6114,english
1726,229,english
1727,13549,english
1728,9529,english
1729,1598,english
1730,11349,english
1731,7340,english
1732,6217,english
1733,377,english
1734,28198,italiano
1735,794,english
1736,794,italiano
1737,794,latin
1738,31640,english
1739,8744,english
1740,25189,english
1741,145,english
1742,2212,english
1743,199,english
1744,7863,english
1745,7863,
1746,12498,english
1747,9279,english
1748,53234,english
1749,53234,français
1750,53234,italiano
1751,17204,english
1752,21539,english
1753,21539,español
1754,85589,norsk
1755,12709,français
1756,20539,english
1757,11674,english
1758,64900,english
1759,64900,français
1760,64900,pусский
1761,1573,english
1762,1573,español
1763,152,english
1764,174,english
1765,172,english
1766,154,english
1767,157,english
1768,157,pусский
1769,168,english
1770,168,suomi
1771,364,english
1772,11967,english
1773,9086,english
1774,621,english
1775,9037,english
1776,10173,english
1777,55687,english
1778,168535,english
1779,8845,english
1780,46681,english
1781,46681,español
1782,578,english
1783,579,english
1784,17692,english
1785,17795,english
1786,75,english
1787,75,français
1788,13891,english
1789,9390,english
1790,9390,polski
