,movieid,castid,character_name,actor_name,order
100,2086.0,12,Lynn Watson,Courtney Chase,1
101,2086.0,13,Hucy,Charles S. Dutton,2
102,9208.0,1,Maj. Vic 'Deak' Deakins,John Travolta,0
103,9208.0,2,Capt. Riley Hale,Christian Slater,1
104,9208.0,3,Terry Carmichael,Samantha Mathis,2
105,406.0,2,Vinz,Vincent Cassel,0
106,406.0,3,Hubert,Hubert Koundé,1
107,406.0,4,Saïd,Saïd Taghmaoui,2
108,13685.0,1,Anthony Adams,Luke Wilson,0
109,13685.0,2,Dignan,Owen Wilson,1
110,13685.0,4,Inez,Lumi Cavazos,2
111,9614.0,11,Happy Gilmore,Adam Sandler,0
112,9614.0,27,Hal L. - Orderly in Nursing Home (uncredited),Ben Stiller,1
113,9614.0,12,Shooter McGavin,Christopher McDonald,2
114,688.0,10,Francesca Johnson,Meryl Streep,0
115,688.0,11,Robert Kincaid,Clint Eastwood,1
116,688.0,12,Caroline Johnson,Annie Corley,2
117,197.0,5,William Wallace,Mel Gibson,0
118,197.0,6,Murron MacClannough,Catherine McCormack,1
119,197.0,7,Princess Isabelle,Sophie Marceau,2
120,103.0,5,Travis Bickle,Robert De Niro,0
121,103.0,6,Betsy,Cybill Shepherd,1
122,103.0,7,'Sport' Matthew,Harvey Keitel,2
123,33542.0,1,Keung,Jackie Chan,0
124,33542.0,2,Elaine,Anita Mui,1
125,33542.0,3,Nancy,Françoise Yip,2
126,11104.0,11,Woman in blonde wig,Brigitte Lin,0
127,11104.0,12,Policeman 663,Tony Leung Chiu-Wai,1
128,11104.0,13,Faye,Faye Wong,2
129,11000.0,6,Armand Goldman,Robin Williams,0
130,11000.0,7,Sen. Kevin Keeley,Gene Hackman,1
131,11000.0,8,Albert Goldman,Nathan Lane,2
132,9737.0,47,Detective Mike Lowrey,Will Smith,0
133,9737.0,1,Detective Marcus Burnett,Martin Lawrence,1
134,9737.0,3,Julie Mott,Téa Leoni,2
135,10474.0,9,Jim Carroll,Leonardo DiCaprio,0
136,10474.0,10,Jim's Mother,Lorraine Bracco,1
137,10474.0,11,Pedro,James Madio,2
138,568.0,19,Jim Lovell,Tom Hanks,0
139,568.0,23,Fred Haise,Bill Paxton,1
140,568.0,24,Jack Swigert,Kevin Bacon,2
141,11780.0,9,Robert Roy MacGregor (Rob Roy),Liam Neeson,0
142,11780.0,16,Mary MacGregor,Jessica Lange,1
143,11780.0,11,John Graham (Marquis of Montrose),John Hurt,2
144,414.0,6,Bruce Wayne / Batman,Val Kilmer,0
145,414.0,7,Harvey Dent / Two-Face,Tommy Lee Jones,1
146,414.0,8,Edward Nygma / The Riddler,Jim Carrey,1
147,649.0,18,Séverine Serizy,Catherine Deneuve,0
148,649.0,19,Henri Husson,Michel Piccoli,1
149,649.0,20,Pierre Serizy,Jean Sorel,2
150,8839.0,14,Kathleen 'Kat' Harvey,Christina Ricci,0
151,8839.0,13,Dr. James Harvey,Bill Pullman,1
152,8839.0,17,Carrigan Crittenden,Cathy Moriarty,2
153,10329.0,7,Dr. Karen Ross,Laura Linney,0
154,10329.0,8,Dr. Peter Elliot,Dylan Walsh,1
155,10329.0,9,Captain Munro Kelly,Ernie Hudson,2
156,8963.0,3,Lt. Commander Ron Hunter,Denzel Washington,0
157,8963.0,2,Captain Frank Ramsey,Gene Hackman,1
158,8963.0,12,"Lt. Roy Zimmer, USS Alabama Communications Officer",Matt Craven,2
159,8068.0,3,El Mariachi,Antonio Banderas,0
160,8068.0,4,Carolina,Salma Hayek,1
161,8068.0,5,Bucho,Joaquim de Almeida,2
162,1572.0,8,John McClane,Bruce Willis,0
163,1572.0,7,Simon Peter Gruber,Jeremy Irons,1
164,1572.0,9,Zeus Carver,Samuel L. Jackson,2
165,6520.0,1,King Arthur,Sean Connery,0
166,6520.0,2,Lancelot,Richard Gere,1
167,6520.0,3,Guinevere,Julia Ormond,2
168,10428.0,16,Dade Murphy / 'Crash Override' / 'Zero Cool',Jonny Lee Miller,0
169,10428.0,17,Kate Libby / 'Acid Burn',Angelina Jolie,1
170,10428.0,20,Joey Pardella,Jesse Bradford,2
171,9886.0,10,Johnny Mnemonic,Keanu Reeves,0
172,9886.0,11,Jane,Dina Meyer,1
173,9886.0,12,Takahashi,Takeshi Kitano,2
174,9482.0,1,Judge Joseph Dredd,Sylvester Stallone,0
175,9482.0,2,Judge Hershey,Diane Lane,1
176,9482.0,3,Rico,Armand Assante,2
177,9344.0,1,Telly,Leo Fitzpatrick,0
178,9344.0,6,Ruby,Rosario Dawson,2
179,9344.0,27,Jenny,Chloë Sevigny,3
180,2293.0,13,Brodie Bruce,Jason Lee,0
181,2293.0,14,T.S. Quint,Jeremy London,1
182,2293.0,12,Rene Mosier,Shannen Doherty,2
183,9070.0,2,Kimberly Hart / Pink Ranger,Amy Jo Johnson,0
184,9070.0,1,Tommy Oliver / White Ranger,Jason David Frank,1
185,9070.0,3,Billy Cranston / Blue Ranger,David Yost,2
186,1642.0,1,Angela Bennett/Ruth Marx,Sandra Bullock,0
187,1642.0,2,Jack Devlin,Jeremy Northam,1
188,1642.0,3,Dr. Alan Champion,Dennis Miller,2
189,11472.0,11,Samuel Faulkner,Hugh Grant,0
190,11472.0,12,Rebecca Taylor,Julianne Moore,1
191,11472.0,13,Marty Dwyer,Tom Arnold,2
192,10802.0,10,Nomi Malone,Elizabeth Berkley,0
193,10802.0,11,Zack Carey,Kyle MacLachlan,1
194,10802.0,12,Cristal Connors,Gina Gershon,2
195,9348.0,5,Sil,Natasha Henstridge,0
196,9348.0,1,Xavier Fitch,Ben Kingsley,1
197,9348.0,2,Preston Lennox,Michael Madsen,2
198,281.0,9,Lenny Nero,Ralph Fiennes,0
199,281.0,10,Lornette 'Mace' Mason,Angela Bassett,1
200,281.0,11,Max Peltier,Tom Sizemore,2
201,3512.0,21,Casey Ryback,Steven Seagal,0
202,3512.0,22,Travis Dane,Eric Bogosian,1
203,3512.0,23,Penn,Everett McGill,2
204,9560.0,1,Paul Sutton,Keanu Reeves,0
205,9560.0,18,Victoria Aragón,Aitana Sánchez-Gijón,1
206,9560.0,3,Don Pedro Aragón,Anthony Quinn,2
207,9804.0,1,Mariner,Kevin Costner,0
208,9804.0,2,Drifter,Chaim Girafi,1
209,9804.0,3,Gatesman,Rick Aviles,2
210,76.0,4,Jesse,Ethan Hawke,0
211,76.0,16,Céline,Julie Delpy,1
212,76.0,5,Wife on Train,Andrea Eckert,2
213,11017.0,1,Billy Madison,Adam Sandler,0
214,11017.0,2,Brian Madison,Darren McGavin,1
215,11017.0,3,Veronica Vaughn,Bridgette Wilson,2
216,2292.0,7,Dante Hicks,Brian O'Halloran,0
217,2292.0,8,Randal Graves,Jeff Anderson,1
218,2292.0,10,Jay,Jason Mewes,2
219,1909.0,1,Don Juan deMarco,Johnny Depp,0
220,1909.0,2,Dr. Jack Mickler,Marlon Brando,1
221,1909.0,3,Marilyn Mickler,Faye Dunaway,2
222,8984.0,1,Tom Sanders,Michael Douglas,0
223,8984.0,2,Meredith Johnson,Demi Moore,1
224,8984.0,3,Bob Garvin,Donald Sutherland,2
225,11929.0,9,Dolores Claiborne,Kathy Bates,0
226,11929.0,10,Selena St. George,Jennifer Jason Leigh,1
227,11929.0,11,Vera Donovan,Judy Parfitt,2
228,8467.0,1,Lloyd Christmas,Jim Carrey,0
229,8467.0,2,Harry Dune,Jeff Daniels,1
230,8467.0,3,Mary Swanson,Lauren Holly,2
231,522.0,5,Ed Wood,Johnny Depp,0
232,522.0,6,Bela Lugosi,Martin Landau,1
233,522.0,7,Dolores Fuller,Sarah Jessica Parker,2
234,397.0,1,Kate,Meg Ryan,0
235,397.0,2,Luc Teyssier,Kevin Kline,1
236,397.0,3,Charlie,Timothy Hutton,2
237,15789.0,2,Goofy Goof (voice),Bill Farmer,0
238,15789.0,16,Max Goof (voice),Jason Marsden,1
239,15789.0,4,P.J. Pete (voice),Rob Paulsen,2
240,1024.0,7,Pauline Parker Rieper,Melanie Lynskey,0
241,1024.0,8,Juliet Hulme,Kate Winslet,1
242,1024.0,9,Honorah Parker Rieper,Sarah Peirse,2
243,628.0,18,Louis de Pointe du Lac,Brad Pitt,0
244,628.0,19,Lestat de Lioncourt,Tom Cruise,1
245,628.0,20,Claudia,Kirsten Dunst,2
246,6280.0,1,Dr. Alex Hesse,Arnold Schwarzenegger,0
247,6280.0,2,Dr. Larry Arbogast,Danny DeVito,1
248,6280.0,3,Dr. Diana Reddin,Emma Thompson,2
249,11.0,3,Luke Skywalker,Mark Hamill,0
250,11.0,4,Han Solo,Harrison Ford,1
251,11.0,5,Princess Leia Organa,Carrie Fisher,2
252,9587.0,1,Jo March,Winona Ryder,0
253,9587.0,2,Friedrich Bhaer,Gabriel Byrne,1
254,9587.0,3,Meg March,Trini Alvarado,2
255,19101.0,1,Sara Crewe,Liesel Matthews,0
256,19101.0,2,Miss Minchin,Eleanor Bron,1
257,19101.0,3,Capt. Crewe / Prince Rama,Liam Cunningham,2
258,4476.0,17,Tristan Ludlow,Brad Pitt,0
259,4476.0,18,Col. William Ludlow,Anthony Hopkins,1
260,4476.0,19,Alfred Ludlow,Aidan Quinn,2
261,11008.0,14,Maj. Benson Payne,Damon Wayans,0
262,11008.0,15,Cadet Kevin 'Tiger' Dunne,Orlando Brown,1
263,11008.0,24,Lt. Col. Stone,Michael Ironside,2
264,3036.0,16,The Creature,Robert De Niro,0
265,3036.0,17,Victor Frankenstein,Kenneth Branagh,1
266,3036.0,18,Henry Clerval,Tom Hulce,2
267,10510.0,1,Kris Kringle,Richard Attenborough,0
268,10510.0,2,Dorey Walker,Elizabeth Perkins,1
269,10510.0,3,Bryan Bedford,Dylan McDermott,2
270,241.0,49,Mickey Knox,Woody Harrelson,0
271,241.0,50,Mallory Knox,Juliette Lewis,1
272,241.0,51,Wayne Gale,Robert Downey Jr.,2
273,6950.0,1,Sam Daniels,Dustin Hoffman,0
274,6950.0,2,Robby Keough,Rene Russo,1
275,6950.0,3,Billy Ford,Morgan Freeman,2
276,101.0,12,Léon Montana,Jean Reno,0
277,101.0,21,Mathilda Lando,Natalie Portman,1
278,101.0,13,Norman Stansfield,Gary Oldman,2
279,680.0,2,Vincent Vega,John Travolta,0
280,680.0,3,Jules Winfield,Samuel L. Jackson,1
281,680.0,8,Mia Wallace,Uma Thurman,2
282,11450.0,1,Herbie Stempel,John Turturro,0
283,11450.0,2,Dick Goodwin,Rob Morrow,1
284,11450.0,3,Charles Van Doren,Ralph Fiennes,2
285,12106.0,11,"Ellen ""The Lady“",Sharon Stone,0
286,12106.0,12,John Herod,Gene Hackman,1
287,12106.0,13,Cort,Russell Crowe,2
288,110.0,9,Valentine Dussaut,Irène Jacob,0
289,110.0,10,Richter Joseph Kern,Jean-Louis Trintignant,1
290,110.0,12,Auguste Bruner,Jean-Pierre Lorit,2
291,108.0,10,Julie Vignon,Juliette Binoche,0
292,108.0,11,Olivier,Benoît Régent,1
293,108.0,12,Sandrine,Florence Pernel,2
294,109.0,6,Karol Karol,Zbigniew Zamachowski,0
295,109.0,7,Dominique,Julie Delpy,1
296,109.0,15,Mikolaj,Janusz Gajos,2
297,22586.0,1,Princess Odette (voice),Michelle Nicastro,0
298,22586.0,3,Lord Rothbart (voice),Jack Palance,1
299,22586.0,2,Prince Derek (voice),Howard McGillin,2
300,2636.0,8,Ray Quick,Sylvester Stallone,0
301,2636.0,9,May Munro,Sharon Stone,1
302,2636.0,10,Ned Trent,James Woods,2
303,2164.0,17,Colonel Jonathan “Jack” O'Neil,Kurt Russell,0
304,2164.0,23,Dr. Daniel Jackson,James Spader,1
305,2164.0,25,Ra,Jaye Davidson,2
306,11395.0,10,Santa Claus / Scott Calvin,Tim Allen,0
307,11395.0,12,Dr. Neil Miller,Judge Reinhold,1
308,11395.0,11,Laura Calvin Miller,Wendy Crewson,2
309,278.0,3,Andy Dufresne,Tim Robbins,0
310,278.0,4,Ellis Boyd 'Red' Redding,Morgan Freeman,1
311,278.0,5,Warden Samuel Norton,Bob Gunton,2
312,9905.0,8,Juliet Miller,Kerry Fox,0
313,9905.0,9,David Stephens,Christopher Eccleston,1
314,9905.0,10,Alex Law,Ewan McGregor,2
315,193.0,5,Captain Jean-Luc Picard,Patrick Stewart,0
316,193.0,6,Commander William T. Riker,Jonathan Frakes,1
317,193.0,30,Lt. Commander Data,Brent Spiner,2
318,12122.0,13,Dr. Alan Chaffee,Christopher Reeve,0
319,12122.0,14,Dr. Susan Verner,Kirstie Alley,1
320,12122.0,15,Jill McGowan,Linda Kozlowski,2
321,11381.0,1,Thomas 'Tommy' Callahan III,Chris Farley,0
322,11381.0,2,Richard Hayden,David Spade,1
323,11381.0,3,Thomas 'Big Tom' Callahan,Brian Dennehy,2
324,1587.0,13,Gilbert Grape,Johnny Depp,0
325,1587.0,2,Arnie Grape,Leonardo DiCaprio,1
326,1587.0,3,Becky,Juliette Lewis,2
327,9271.0,10,Lt. Parker Barnes,Denzel Washington,0
328,9271.0,11,SID 6.7,Russell Crowe,1
329,9271.0,12,Madison Carter,Kelly Lynch,2
330,2064.0,9,Lucy Eleanor Moderatz,Sandra Bullock,0
331,2064.0,10,Jack Callaghan,Bill Pullman,1
332,2064.0,11,Peter Callaghan,Peter Gallagher,2
333,3049.0,3,Ace Ventura,Jim Carrey,0
334,3049.0,10,Lt. Lois Einhorn,Sean Young,1
335,3049.0,4,Melissa Robinson,Courteney Cox,2
336,2759.0,8,Ralph/Bernadette Bassenger,Terence Stamp,0
337,2759.0,9,Anthony Belrose/Mitzi Del Bra,Hugo Weaving,1
338,2759.0,10,Adam Whitely/Felicia Jollygoodfellow,Guy Pearce,2
339,9331.0,14,Jack Ryan,Harrison Ford,0
340,9331.0,1,John Clark,Willem Dafoe,1
341,9331.0,2,Cathy Ryan,Anne Archer,2
342,10731.0,11,"Regina ""Reggie"" Love",Susan Sarandon,0
343,10731.0,12,'Reverend' Roy Foltrigg,Tommy Lee Jones,1
344,10731.0,13,Dianne Sway,Mary-Louise Parker,2
345,9495.0,1,Eric Draven,Brandon Lee,0
346,9495.0,2,Sarah,Rochelle Davis,1
347,9495.0,3,Sergeant Albrecht,Ernie Hudson,2
348,888.0,16,Fred Flintstone,John Goodman,0
349,888.0,17,Wilma Flintstone,Elizabeth Perkins,1
350,888.0,18,Barney Rubble,Rick Moranis,2
351,13.0,7,Forrest Gump,Tom Hanks,0
352,13.0,8,Jenny Curran,Robin Wright,1
353,13.0,9,Lt. Dan Taylor,Gary Sinise,2
354,712.0,7,Charles,Hugh Grant,0
355,712.0,8,Carrie,Andie MacDowell,1
356,712.0,9,Tom,James Fleet,2
357,10660.0,1,Charlie Lang,Nicolas Cage,0
358,10660.0,2,Yvonne Biasi,Bridget Fonda,1
359,10660.0,3,Muriel Lang,Rosie Perez,2
360,8587.0,8,Young Simba (voice),Jonathan Taylor Thomas,0
361,8587.0,9,Adult Simba (voice),Matthew Broderick,1
362,8587.0,10,King Mufasa (voice),James Earl Jones,2
363,11596.0,1,Herself / Nancy Thompson,Heather Langenkamp,0
364,11596.0,2,Freddy Krueger / Himself,Robert Englund,1
365,11596.0,3,Dylan Porter,Miko Hughes,2
366,854.0,17,Stanley Ipkiss / The Mask,Jim Carrey,0
367,854.0,18,Tina Carlyle,Cameron Diaz,1
368,854.0,19,Mrs. Peenman,Nancy Fish,2
369,9359.0,1,Bret Maverick,Mel Gibson,0
370,9359.0,2,Annabelle Bransford,Jodie Foster,1
371,9359.0,3,Marshal Zane Cooper,James Garner,2
372,36593.0,4,Lt. Frank Drebin,Leslie Nielsen,0
373,36593.0,5,Jane Spencer,Priscilla Presley,1
374,36593.0,10,Ed Hocken,George Kennedy,2
375,2788.0,1,Lelaina Pierce,Winona Ryder,0
376,2788.0,5,Michael Grates,Ben Stiller,1
377,2788.0,3,Vickie Miner,Janeane Garofalo,2
378,11011.0,9,Richie Rich,Macaulay Culkin,0
379,11011.0,10,Lawrence Van Dough,John Larroquette,1
380,11011.0,11,Richard Rich,Edward Herrmann,2
381,8987.0,1,Gail Hartman,Meryl Streep,0
382,8987.0,2,Tom Hartman,David Strathairn,1
383,8987.0,12,Wade,Kevin Bacon,2
384,1637.0,2,Jack Traven,Keanu Reeves,0
385,1637.0,4,Howard Payne,Dennis Hopper,1
386,1637.0,1,Annie Porter,Sandra Bullock,2
387,8831.0,9,Max Walker,Jean-Claude Van Damme,0
388,8831.0,10,Melissa Walker,Mia Sara,1
389,8831.0,11,Senator Aaron McComb,Ron Silver,2
390,36955.0,2,Harry Tasker,Arnold Schwarzenegger,0
391,36955.0,3,Helen Tasker,Jamie Lee Curtis,1
392,36955.0,4,Albert Gibson,Tom Arnold,2
393,10395.0,1,Will Randall,Jack Nicholson,0
394,10395.0,2,Raymond Alden,Christopher Plummer,1
395,10395.0,3,Stewart Swinton,James Spader,2
396,12160.0,14,Wyatt Earp,Kevin Costner,0
397,12160.0,15,Doc Holliday,Dennis Quaid,1
398,12160.0,16,Nicholas Earp,Gene Hackman,2
399,11667.0,14,Colonel William Guile,Jean-Claude Van Damme,0
400,11667.0,15,General M. Bison,Raúl Juliá,1
401,11667.0,16,Chun-Li Zang,Ming-Na Wen,2
402,2654.0,9,John Trent,Sam Neill,0
403,2654.0,10,Linda Styles,Julie Carmen,1
404,2654.0,11,Sutter Cane,Jürgen Prochnow,2
405,2758.0,3,Gomez Addams,Raúl Juliá,0
406,2758.0,2,Morticia Addams,Anjelica Huston,1
407,2758.0,4,Uncle Fester Addams,Christopher Lloyd,2
408,10436.0,1,Newland Archer,Daniel Day-Lewis,0
409,10436.0,2,Ellen Olenska,Michelle Pfeiffer,1
410,10436.0,3,May Welland,Winona Ryder,2
411,13595.0,1,Chester 'Chazz' Darvey,Brendan Fraser,0
412,13595.0,2,Rex,Steve Buscemi,1
413,13595.0,3,Pip,Adam Sandler,2
414,306.0,1,Axel Foley,Eddie Murphy,0
415,306.0,7,Billy Rosewood,Judge Reinhold,1
416,306.0,2,Jon Flint,Héctor Elizondo,2
417,1607.0,1,Lorenzo Anello,Robert De Niro,0
418,1607.0,2,Sonny LoSpecchio,Chazz Palminteri,1
419,1607.0,3,"Calogero ""C"" Anello (Age 17)",Lillo Brancato,2
420,6075.0,4,Carlito Brigante,Al Pacino,0
421,6075.0,5,David Kleinfeld,Sean Penn,1
422,6075.0,6,Gail,Penelope Ann Miller,2
423,9350.0,1,Gabe Walker,Sylvester Stallone,0
424,9350.0,2,Eric Qualen,John Lithgow,1
425,9350.0,3,Hal Tucker,Michael Rooker,2
426,9612.0,11,Air Traffic Controller,Robert Knott,0
427,9612.0,12,Beldar Conehead,Dan Aykroyd,1
428,9612.0,13,Prymatt Conehead,Jane Curtin,2
429,11566.0,10,Dave Kovic / Bill Mitchell,Kevin Kline,0
430,11566.0,12,Ellen Mitchell,Sigourney Weaver,1
431,11566.0,13,Bob Alexander,Frank Langella,2
432,9571.0,1,Randall 'Pink' Floyd,Jason London,0
433,9571.0,2,Ron Slater,Rory Cochrane,1
434,9571.0,3,Mitch Kramer,Wiley Wiggins,2
435,9739.0,1,John Spartan,Sylvester Stallone,0
436,9739.0,2,Simon Phoenix,Wesley Snipes,1
437,9739.0,3,Lt. Lenina Huxley,Sandra Bullock,2
438,37233.0,13,Mitch McDeere,Tom Cruise,0
439,37233.0,2,Abby McDeere,Jeanne Tripplehorn,1
440,37233.0,3,Avery Tolar,Gene Hackman,2
441,1634.0,11,Jesse,Jason James Richter,0
442,1634.0,12,Rae Lindley,Lori Petty,1
443,1634.0,13,Randolph Johnson,August Schellenberg,2
444,5503.0,2,Dr. Kimble,Harrison Ford,0
445,5503.0,3,Samuel Gerard,Tommy Lee Jones,1
446,5503.0,4,Helen Kimble,Sela Ward,2
447,2019.0,11,Chance Boudreaux,Jean-Claude Van Damme,0
448,2019.0,12,Pik van Cleef,Arnold Vosloo,1
449,2019.0,13,Emil Fouchon,Lance Henriksen,2
450,9255.0,11,Topper Harley,Charlie Sheen,0
451,9255.0,12,President Thomas 'Tug' Benson,Lloyd Bridges,1
452,9255.0,13,Ramada Rodham Hayman,Valeria Golino,2
453,11934.0,13,Norville Barnes,Tim Robbins,0
454,11934.0,14,Amy Archer,Jennifer Jason Leigh,1
455,11934.0,15,Sidney J. Mussburger,Paul Newman,2
456,9386.0,1,Secret Service Agent Frank Horrigan,Clint Eastwood,0
457,9386.0,3,Secret Service Agent Lilly Raines,Rene Russo,1
458,9386.0,2,Mitch Leary,John Malkovich,2
459,7984.0,4,Gerry Conlon,Daniel Day-Lewis,0
460,7984.0,6,Giuseppe Conlon,Pete Postlethwaite,1
461,7984.0,5,Gareth Peirce,Emma Thompson,2
462,329.0,4,Dr. Alan Grant,Sam Neill,0
463,329.0,5,Dr. Ellie Sattler,Laura Dern,1
464,329.0,6,Dr. Ian Malcolm,Jeff Goldblum,2
465,10909.0,2,Early Grayce,Brad Pitt,0
466,10909.0,3,Brian Kessler,David Duchovny,1
467,10909.0,1,Adele Corners,Juliette Lewis,2
468,9593.0,1,Jack Slater,Arnold Schwarzenegger,0
469,9593.0,2,John Practice,F. Murray Abraham,1
470,9593.0,4,Frank,Art Carney,2
471,10440.0,1,Larry Lipton,Woody Allen,0
472,10440.0,2,Carol Lipton,Diane Keaton,1
473,10440.0,3,Paul House,Jerry Adler,2
474,9516.0,1,Caine 'Kaydee' Lawson,Tyrin Turner,0
475,9516.0,2,Kevin 'O-Dog',Larenz Tate,1
476,9516.0,3,Pernell,Glenn Plummer,2
477,2320.0,2,Dr. David Grant,Kurt Russell,0
478,2320.0,3,Lt. Colonel Austin Travis,Steven Seagal,1
479,2320.0,4,"Jean, Flight Attendant",Halle Berry,2
480,11971.0,9,Benedikt,Kenneth Branagh,0
481,11971.0,11,Signor Leonato,Richard Briers,1
482,11971.0,14,Dogberry,Michael Keaton,2
483,788.0,20,Daniel Hillard / Mrs. Doubtfire,Robin Williams,0
484,788.0,21,Miranda Hillard,Sally Field,1
485,788.0,22,Stuart Dunmeyer,Pierce Brosnan,2
486,11231.0,1,Sgt. Kesuke Miyagi,Pat Morita,0
487,11231.0,2,Julie Pierce,Hilary Swank,1
488,11231.0,3,Colonel Dugan,Michael Ironside,2
