id,castid,character_name,actor_name,order
63,41,James Cole,Bruce Willis,0
63,42,Dr. Kathryn Railly,Madeleine Stowe,1
63,43,Jeffrey Goines,Brad Pitt,2
9598,1,Babe the Gallant Pig (voice),Christine Cavanaugh,0
9598,2,Fly the Female Sheepdog (voice),Miriam Margolyes,1
9598,3,Ferdinand the Duck (voice),Danny Mann,2
687,7,Sister Helen Prejean,Susan Sarandon,0
687,8,Matthew Poncelet,Sean Penn,1
687,9,Hilton Barber,Robert Prosky,2
9603,8,Cher Horowitz,Alicia Silverstone,0
9603,9,Dionne,Stacey Dash,1
9603,10,Tai,Brittany Murphy,2
9312,1,Lord Rayden,Christopher Lambert,0
9312,2,Liu Kang,Robin Shou,1
9312,3,Johnny Cage,Linden Ashby,2
577,4,Suzanne Stone Maretto,Nicole Kidman,0
577,5,Larry Maretto,Matt Dillon,1
577,6,Jimmy Emmett,Joaquin Phoenix,2
807,17,Detective David Mills,Brad Pitt,0
807,18,Detective Lt. William Somerset,Morgan Freeman,1
807,19,Tracy Mills,Gwyneth Paltrow,2
10530,1,Pocahontas (voice),Irene Bedard,0
10530,2,John Smith (voice),Mel Gibson,1
10530,3,Governor Ratcliffe (voice),David Ogden Stiers,2
629,19,Michael McManus,Stephen Baldwin,0
629,20,Dean Keaton,Gabriel Byrne,1
629,24,US Customs Agent Dave Kujan,Chazz Palminteri,2
10607,18,Ashtray,Shawn Wayans,0
10607,2,Loc Dog,Marlon Wayans,1
10607,3,Dashiki,Tracey Cherelle Jones,2
10634,1,Craig Jones,Ice Cube,0
10634,2,Smokey,Chris Tucker,1
10634,3,Debbie,Nia Long,2
755,1,Seth Gecko,George Clooney,0
755,2,Richard Gecko,Quentin Tarantino,1
755,3,Jacob Fuller,Harvey Keitel,2
9102,1,Colonel Hendricksson,Peter Weller,0
9102,2,Becker,Roy Dupuis,1
9102,3,Jessica,Jennifer Rubin,2
2086,11,Gene Watson,Johnny Depp,0
2086,12,Lynn Watson,Courtney Chase,1
2086,13,Hucy,Charles S. Dutton,2
9208,1,Maj. Vic 'Deak' Deakins,John Travolta,0
9208,2,Capt. Riley Hale,Christian Slater,1
9208,3,Terry Carmichael,Samantha Mathis,2
406,2,Vinz,Vincent Cassel,0
406,3,Hubert,Hubert Koundé,1
406,4,Saïd,Saïd Taghmaoui,2
13685,1,Anthony Adams,Luke Wilson,0
13685,2,Dignan,Owen Wilson,1
13685,4,Inez,Lumi Cavazos,2
9614,11,Happy Gilmore,Adam Sandler,0
9614,27,Hal L. - Orderly in Nursing Home (uncredited),Ben Stiller,1
9614,12,Shooter McGavin,Christopher McDonald,2
688,10,Francesca Johnson,Meryl Streep,0
688,11,Robert Kincaid,Clint Eastwood,1
688,12,Caroline Johnson,Annie Corley,2
197,5,William Wallace,Mel Gibson,0
197,6,Murron MacClannough,Catherine McCormack,1
197,7,Princess Isabelle,Sophie Marceau,2
103,5,Travis Bickle,Robert De Niro,0
103,6,Betsy,Cybill Shepherd,1
103,7,'Sport' Matthew,Harvey Keitel,2
33542,1,Keung,Jackie Chan,0
33542,2,Elaine,Anita Mui,1
33542,3,Nancy,Françoise Yip,2
11104,11,Woman in blonde wig,Brigitte Lin,0
11104,12,Policeman 663,Tony Leung Chiu-Wai,1
11104,13,Faye,Faye Wong,2
11000,6,Armand Goldman,Robin Williams,0
11000,7,Sen. Kevin Keeley,Gene Hackman,1
11000,8,Albert Goldman,Nathan Lane,2
9737,47,Detective Mike Lowrey,Will Smith,0
9737,1,Detective Marcus Burnett,Martin Lawrence,1
9737,3,Julie Mott,Téa Leoni,2
10474,9,Jim Carroll,Leonardo DiCaprio,0
10474,10,Jim's Mother,Lorraine Bracco,1
10474,11,Pedro,James Madio,2
568,19,Jim Lovell,Tom Hanks,0
568,23,Fred Haise,Bill Paxton,1
568,24,Jack Swigert,Kevin Bacon,2
11780,9,Robert Roy MacGregor (Rob Roy),Liam Neeson,0
11780,16,Mary MacGregor,Jessica Lange,1
11780,11,John Graham (Marquis of Montrose),John Hurt,2
414,6,Bruce Wayne / Batman,Val Kilmer,0
414,7,Harvey Dent / Two-Face,Tommy Lee Jones,1
414,8,Edward Nygma / The Riddler,Jim Carrey,1
649,18,Séverine Serizy,Catherine Deneuve,0
649,19,Henri Husson,Michel Piccoli,1
649,20,Pierre Serizy,Jean Sorel,2
8839,14,Kathleen 'Kat' Harvey,Christina Ricci,0
8839,13,Dr. James Harvey,Bill Pullman,1
8839,17,Carrigan Crittenden,Cathy Moriarty,2
10329,7,Dr. Karen Ross,Laura Linney,0
10329,8,Dr. Peter Elliot,Dylan Walsh,1
10329,9,Captain Munro Kelly,Ernie Hudson,2
8963,3,Lt. Commander Ron Hunter,Denzel Washington,0
8963,2,Captain Frank Ramsey,Gene Hackman,1
8963,12,"Lt. Roy Zimmer, USS Alabama Communications Officer",Matt Craven,2
8068,3,El Mariachi,Antonio Banderas,0
8068,4,Carolina,Salma Hayek,1
8068,5,Bucho,Joaquim de Almeida,2
1572,8,John McClane,Bruce Willis,0
1572,7,Simon Peter Gruber,Jeremy Irons,1
1572,9,Zeus Carver,Samuel L. Jackson,2
6520,1,King Arthur,Sean Connery,0
6520,2,Lancelot,Richard Gere,1
6520,3,Guinevere,Julia Ormond,2
10428,16,Dade Murphy / 'Crash Override' / 'Zero Cool',Jonny Lee Miller,0
10428,17,Kate Libby / 'Acid Burn',Angelina Jolie,1
10428,20,Joey Pardella,Jesse Bradford,2
9886,10,Johnny Mnemonic,Keanu Reeves,0
9886,11,Jane,Dina Meyer,1
9886,12,Takahashi,Takeshi Kitano,2
9482,1,Judge Joseph Dredd,Sylvester Stallone,0
9482,2,Judge Hershey,Diane Lane,1
9482,3,Rico,Armand Assante,2
9344,1,Telly,Leo Fitzpatrick,0
9344,6,Ruby,Rosario Dawson,2
9344,27,Jenny,Chloë Sevigny,3
2293,13,Brodie Bruce,Jason Lee,0
2293,14,T.S. Quint,Jeremy London,1
2293,12,Rene Mosier,Shannen Doherty,2
9070,2,Kimberly Hart / Pink Ranger,Amy Jo Johnson,0
9070,1,Tommy Oliver / White Ranger,Jason David Frank,1
9070,3,Billy Cranston / Blue Ranger,David Yost,2
1642,1,Angela Bennett/Ruth Marx,Sandra Bullock,0
1642,2,Jack Devlin,Jeremy Northam,1
1642,3,Dr. Alan Champion,Dennis Miller,2
11472,11,Samuel Faulkner,Hugh Grant,0
11472,12,Rebecca Taylor,Julianne Moore,1
11472,13,Marty Dwyer,Tom Arnold,2
10802,10,Nomi Malone,Elizabeth Berkley,0
10802,11,Zack Carey,Kyle MacLachlan,1
10802,12,Cristal Connors,Gina Gershon,2
9348,5,Sil,Natasha Henstridge,0
9348,1,Xavier Fitch,Ben Kingsley,1
9348,2,Preston Lennox,Michael Madsen,2
281,9,Lenny Nero,Ralph Fiennes,0
281,10,Lornette 'Mace' Mason,Angela Bassett,1
281,11,Max Peltier,Tom Sizemore,2
3512,21,Casey Ryback,Steven Seagal,0
3512,22,Travis Dane,Eric Bogosian,1
3512,23,Penn,Everett McGill,2
9560,1,Paul Sutton,Keanu Reeves,0
9560,18,Victoria Aragón,Aitana Sánchez-Gijón,1
9560,3,Don Pedro Aragón,Anthony Quinn,2
9804,1,Mariner,Kevin Costner,0
9804,2,Drifter,Chaim Girafi,1
9804,3,Gatesman,Rick Aviles,2
76,4,Jesse,Ethan Hawke,0
76,16,Céline,Julie Delpy,1
76,5,Wife on Train,Andrea Eckert,2
11017,1,Billy Madison,Adam Sandler,0
11017,2,Brian Madison,Darren McGavin,1
11017,3,Veronica Vaughn,Bridgette Wilson,2
2292,7,Dante Hicks,Brian O'Halloran,0
2292,8,Randal Graves,Jeff Anderson,1
2292,10,Jay,Jason Mewes,2
1909,1,Don Juan deMarco,Johnny Depp,0
1909,2,Dr. Jack Mickler,Marlon Brando,1
1909,3,Marilyn Mickler,Faye Dunaway,2
8984,1,Tom Sanders,Michael Douglas,0
8984,2,Meredith Johnson,Demi Moore,1
8984,3,Bob Garvin,Donald Sutherland,2
11929,9,Dolores Claiborne,Kathy Bates,0
11929,10,Selena St. George,Jennifer Jason Leigh,1
11929,11,Vera Donovan,Judy Parfitt,2
8467,1,Lloyd Christmas,Jim Carrey,0
8467,2,Harry Dune,Jeff Daniels,1
8467,3,Mary Swanson,Lauren Holly,2
522,5,Ed Wood,Johnny Depp,0
522,6,Bela Lugosi,Martin Landau,1
522,7,Dolores Fuller,Sarah Jessica Parker,2
397,1,Kate,Meg Ryan,0
397,2,Luc Teyssier,Kevin Kline,1
397,3,Charlie,Timothy Hutton,2
15789,2,Goofy Goof (voice),Bill Farmer,0
15789,16,Max Goof (voice),Jason Marsden,1
15789,4,P.J. Pete (voice),Rob Paulsen,2
1024,7,Pauline Parker Rieper,Melanie Lynskey,0
1024,8,Juliet Hulme,Kate Winslet,1
1024,9,Honorah Parker Rieper,Sarah Peirse,2
628,18,Louis de Pointe du Lac,Brad Pitt,0
628,19,Lestat de Lioncourt,Tom Cruise,1
628,20,Claudia,Kirsten Dunst,2
6280,1,Dr. Alex Hesse,Arnold Schwarzenegger,0
6280,2,Dr. Larry Arbogast,Danny DeVito,1
6280,3,Dr. Diana Reddin,Emma Thompson,2
11,3,Luke Skywalker,Mark Hamill,0
11,4,Han Solo,Harrison Ford,1
11,5,Princess Leia Organa,Carrie Fisher,2
9587,1,Jo March,Winona Ryder,0
9587,2,Friedrich Bhaer,Gabriel Byrne,1
9587,3,Meg March,Trini Alvarado,2
19101,1,Sara Crewe,Liesel Matthews,0
19101,2,Miss Minchin,Eleanor Bron,1
19101,3,Capt. Crewe / Prince Rama,Liam Cunningham,2
4476,17,Tristan Ludlow,Brad Pitt,0
4476,18,Col. William Ludlow,Anthony Hopkins,1
4476,19,Alfred Ludlow,Aidan Quinn,2
11008,14,Maj. Benson Payne,Damon Wayans,0
11008,15,Cadet Kevin 'Tiger' Dunne,Orlando Brown,1
11008,24,Lt. Col. Stone,Michael Ironside,2
3036,16,The Creature,Robert De Niro,0
3036,17,Victor Frankenstein,Kenneth Branagh,1
3036,18,Henry Clerval,Tom Hulce,2
10510,1,Kris Kringle,Richard Attenborough,0
10510,2,Dorey Walker,Elizabeth Perkins,1
10510,3,Bryan Bedford,Dylan McDermott,2
241,49,Mickey Knox,Woody Harrelson,0
241,50,Mallory Knox,Juliette Lewis,1
241,51,Wayne Gale,Robert Downey Jr.,2
6950,1,Sam Daniels,Dustin Hoffman,0
6950,2,Robby Keough,Rene Russo,1
6950,3,Billy Ford,Morgan Freeman,2
101,12,Léon Montana,Jean Reno,0
101,21,Mathilda Lando,Natalie Portman,1
101,13,Norman Stansfield,Gary Oldman,2
680,2,Vincent Vega,John Travolta,0
680,3,Jules Winfield,Samuel L. Jackson,1
680,8,Mia Wallace,Uma Thurman,2
11450,1,Herbie Stempel,John Turturro,0
11450,2,Dick Goodwin,Rob Morrow,1
11450,3,Charles Van Doren,Ralph Fiennes,2
12106,11,"Ellen ""The Lady“",Sharon Stone,0
12106,12,John Herod,Gene Hackman,1
12106,13,Cort,Russell Crowe,2
110,9,Valentine Dussaut,Irène Jacob,0
110,10,Richter Joseph Kern,Jean-Louis Trintignant,1
110,12,Auguste Bruner,Jean-Pierre Lorit,2
108,10,Julie Vignon,Juliette Binoche,0
108,11,Olivier,Benoît Régent,1
108,12,Sandrine,Florence Pernel,2
109,6,Karol Karol,Zbigniew Zamachowski,0
109,7,Dominique,Julie Delpy,1
109,15,Mikolaj,Janusz Gajos,2
22586,1,Princess Odette (voice),Michelle Nicastro,0
22586,3,Lord Rothbart (voice),Jack Palance,1
22586,2,Prince Derek (voice),Howard McGillin,2
2636,8,Ray Quick,Sylvester Stallone,0
2636,9,May Munro,Sharon Stone,1
2636,10,Ned Trent,James Woods,2
2164,17,Colonel Jonathan “Jack” O'Neil,Kurt Russell,0
2164,23,Dr. Daniel Jackson,James Spader,1
2164,25,Ra,Jaye Davidson,2
11395,10,Santa Claus / Scott Calvin,Tim Allen,0
11395,12,Dr. Neil Miller,Judge Reinhold,1
11395,11,Laura Calvin Miller,Wendy Crewson,2
278,3,Andy Dufresne,Tim Robbins,0
278,4,Ellis Boyd 'Red' Redding,Morgan Freeman,1
278,5,Warden Samuel Norton,Bob Gunton,2
9905,8,Juliet Miller,Kerry Fox,0
9905,9,David Stephens,Christopher Eccleston,1
9905,10,Alex Law,Ewan McGregor,2
193,5,Captain Jean-Luc Picard,Patrick Stewart,0
193,6,Commander William T. Riker,Jonathan Frakes,1
193,30,Lt. Commander Data,Brent Spiner,2
12122,13,Dr. Alan Chaffee,Christopher Reeve,0
12122,14,Dr. Susan Verner,Kirstie Alley,1
12122,15,Jill McGowan,Linda Kozlowski,2
11381,1,Thomas 'Tommy' Callahan III,Chris Farley,0
11381,2,Richard Hayden,David Spade,1
11381,3,Thomas 'Big Tom' Callahan,Brian Dennehy,2
1587,13,Gilbert Grape,Johnny Depp,0
1587,2,Arnie Grape,Leonardo DiCaprio,1
1587,3,Becky,Juliette Lewis,2
9271,10,Lt. Parker Barnes,Denzel Washington,0
9271,11,SID 6.7,Russell Crowe,1
9271,12,Madison Carter,Kelly Lynch,2
2064,9,Lucy Eleanor Moderatz,Sandra Bullock,0
2064,10,Jack Callaghan,Bill Pullman,1
2064,11,Peter Callaghan,Peter Gallagher,2
3049,3,Ace Ventura,Jim Carrey,0
3049,10,Lt. Lois Einhorn,Sean Young,1
3049,4,Melissa Robinson,Courteney Cox,2
2759,8,Ralph/Bernadette Bassenger,Terence Stamp,0
2759,9,Anthony Belrose/Mitzi Del Bra,Hugo Weaving,1
2759,10,Adam Whitely/Felicia Jollygoodfellow,Guy Pearce,2
9331,14,Jack Ryan,Harrison Ford,0
9331,1,John Clark,Willem Dafoe,1
9331,2,Cathy Ryan,Anne Archer,2
10731,11,"Regina ""Reggie"" Love",Susan Sarandon,0
10731,12,'Reverend' Roy Foltrigg,Tommy Lee Jones,1
10731,13,Dianne Sway,Mary-Louise Parker,2
9495,1,Eric Draven,Brandon Lee,0
9495,2,Sarah,Rochelle Davis,1
9495,3,Sergeant Albrecht,Ernie Hudson,2
888,16,Fred Flintstone,John Goodman,0
888,17,Wilma Flintstone,Elizabeth Perkins,1
888,18,Barney Rubble,Rick Moranis,2
13,7,Forrest Gump,Tom Hanks,0
13,8,Jenny Curran,Robin Wright,1
13,9,Lt. Dan Taylor,Gary Sinise,2
712,7,Charles,Hugh Grant,0
712,8,Carrie,Andie MacDowell,1
712,9,Tom,James Fleet,2
10660,1,Charlie Lang,Nicolas Cage,0
10660,2,Yvonne Biasi,Bridget Fonda,1
10660,3,Muriel Lang,Rosie Perez,2
8587,8,Young Simba (voice),Jonathan Taylor Thomas,0
8587,9,Adult Simba (voice),Matthew Broderick,1
8587,10,King Mufasa (voice),James Earl Jones,2
11596,1,Herself / Nancy Thompson,Heather Langenkamp,0
11596,2,Freddy Krueger / Himself,Robert Englund,1
11596,3,Dylan Porter,Miko Hughes,2
854,17,Stanley Ipkiss / The Mask,Jim Carrey,0
854,18,Tina Carlyle,Cameron Diaz,1
854,19,Mrs. Peenman,Nancy Fish,2
9359,1,Bret Maverick,Mel Gibson,0
9359,2,Annabelle Bransford,Jodie Foster,1
9359,3,Marshal Zane Cooper,James Garner,2
36593,4,Lt. Frank Drebin,Leslie Nielsen,0
36593,5,Jane Spencer,Priscilla Presley,1
36593,10,Ed Hocken,George Kennedy,2
2788,1,Lelaina Pierce,Winona Ryder,0
2788,5,Michael Grates,Ben Stiller,1
2788,3,Vickie Miner,Janeane Garofalo,2
11011,9,Richie Rich,Macaulay Culkin,0
11011,10,Lawrence Van Dough,John Larroquette,1
11011,11,Richard Rich,Edward Herrmann,2
8987,1,Gail Hartman,Meryl Streep,0
8987,2,Tom Hartman,David Strathairn,1
8987,12,Wade,Kevin Bacon,2
1637,2,Jack Traven,Keanu Reeves,0
1637,4,Howard Payne,Dennis Hopper,1
1637,1,Annie Porter,Sandra Bullock,2
8831,9,Max Walker,Jean-Claude Van Damme,0
8831,10,Melissa Walker,Mia Sara,1
8831,11,Senator Aaron McComb,Ron Silver,2
36955,2,Harry Tasker,Arnold Schwarzenegger,0
36955,3,Helen Tasker,Jamie Lee Curtis,1
36955,4,Albert Gibson,Tom Arnold,2
10395,1,Will Randall,Jack Nicholson,0
10395,2,Raymond Alden,Christopher Plummer,1
10395,3,Stewart Swinton,James Spader,2
12160,14,Wyatt Earp,Kevin Costner,0
12160,15,Doc Holliday,Dennis Quaid,1
12160,16,Nicholas Earp,Gene Hackman,2
11667,14,Colonel William Guile,Jean-Claude Van Damme,0
11667,15,General M. Bison,Raúl Juliá,1
11667,16,Chun-Li Zang,Ming-Na Wen,2
2654,9,John Trent,Sam Neill,0
2654,10,Linda Styles,Julie Carmen,1
2654,11,Sutter Cane,Jürgen Prochnow,2
2758,3,Gomez Addams,Raúl Juliá,0
2758,2,Morticia Addams,Anjelica Huston,1
2758,4,Uncle Fester Addams,Christopher Lloyd,2
10436,1,Newland Archer,Daniel Day-Lewis,0
10436,2,Ellen Olenska,Michelle Pfeiffer,1
10436,3,May Welland,Winona Ryder,2
13595,1,Chester 'Chazz' Darvey,Brendan Fraser,0
13595,2,Rex,Steve Buscemi,1
13595,3,Pip,Adam Sandler,2
306,1,Axel Foley,Eddie Murphy,0
306,7,Billy Rosewood,Judge Reinhold,1
306,2,Jon Flint,Héctor Elizondo,2
1607,1,Lorenzo Anello,Robert De Niro,0
1607,2,Sonny LoSpecchio,Chazz Palminteri,1
1607,3,"Calogero ""C"" Anello (Age 17)",Lillo Brancato,2
6075,4,Carlito Brigante,Al Pacino,0
6075,5,David Kleinfeld,Sean Penn,1
6075,6,Gail,Penelope Ann Miller,2
9350,1,Gabe Walker,Sylvester Stallone,0
9350,2,Eric Qualen,John Lithgow,1
9350,3,Hal Tucker,Michael Rooker,2
9612,11,Air Traffic Controller,Robert Knott,0
9612,12,Beldar Conehead,Dan Aykroyd,1
9612,13,Prymatt Conehead,Jane Curtin,2
11566,10,Dave Kovic / Bill Mitchell,Kevin Kline,0
11566,12,Ellen Mitchell,Sigourney Weaver,1
11566,13,Bob Alexander,Frank Langella,2
9571,1,Randall 'Pink' Floyd,Jason London,0
9571,2,Ron Slater,Rory Cochrane,1
9571,3,Mitch Kramer,Wiley Wiggins,2
9739,1,John Spartan,Sylvester Stallone,0
9739,2,Simon Phoenix,Wesley Snipes,1
9739,3,Lt. Lenina Huxley,Sandra Bullock,2
37233,13,Mitch McDeere,Tom Cruise,0
37233,2,Abby McDeere,Jeanne Tripplehorn,1
37233,3,Avery Tolar,Gene Hackman,2
1634,11,Jesse,Jason James Richter,0
1634,12,Rae Lindley,Lori Petty,1
1634,13,Randolph Johnson,August Schellenberg,2
5503,2,Dr. Kimble,Harrison Ford,0
5503,3,Samuel Gerard,Tommy Lee Jones,1
5503,4,Helen Kimble,Sela Ward,2
2019,11,Chance Boudreaux,Jean-Claude Van Damme,0
2019,12,Pik van Cleef,Arnold Vosloo,1
2019,13,Emil Fouchon,Lance Henriksen,2
9255,11,Topper Harley,Charlie Sheen,0
9255,12,President Thomas 'Tug' Benson,Lloyd Bridges,1
9255,13,Ramada Rodham Hayman,Valeria Golino,2
11934,13,Norville Barnes,Tim Robbins,0
11934,14,Amy Archer,Jennifer Jason Leigh,1
11934,15,Sidney J. Mussburger,Paul Newman,2
9386,1,Secret Service Agent Frank Horrigan,Clint Eastwood,0
9386,3,Secret Service Agent Lilly Raines,Rene Russo,1
9386,2,Mitch Leary,John Malkovich,2
7984,4,Gerry Conlon,Daniel Day-Lewis,0
7984,6,Giuseppe Conlon,Pete Postlethwaite,1
7984,5,Gareth Peirce,Emma Thompson,2
329,4,Dr. Alan Grant,Sam Neill,0
329,5,Dr. Ellie Sattler,Laura Dern,1
329,6,Dr. Ian Malcolm,Jeff Goldblum,2
10909,2,Early Grayce,Brad Pitt,0
10909,3,Brian Kessler,David Duchovny,1
10909,1,Adele Corners,Juliette Lewis,2
9593,1,Jack Slater,Arnold Schwarzenegger,0
9593,2,John Practice,F. Murray Abraham,1
9593,4,Frank,Art Carney,2
10440,1,Larry Lipton,Woody Allen,0
10440,2,Carol Lipton,Diane Keaton,1
10440,3,Paul House,Jerry Adler,2
9516,1,Caine 'Kaydee' Lawson,Tyrin Turner,0
9516,2,Kevin 'O-Dog',Larenz Tate,1
9516,3,Pernell,Glenn Plummer,2
2320,2,Dr. David Grant,Kurt Russell,0
2320,3,Lt. Colonel Austin Travis,Steven Seagal,1
2320,4,"Jean, Flight Attendant",Halle Berry,2
11971,9,Benedikt,Kenneth Branagh,0
11971,11,Signor Leonato,Richard Briers,1
11971,14,Dogberry,Michael Keaton,2
788,20,Daniel Hillard / Mrs. Doubtfire,Robin Williams,0
788,21,Miranda Hillard,Sally Field,1
788,22,Stuart Dunmeyer,Pierce Brosnan,2
11231,1,Sgt. Kesuke Miyagi,Pat Morita,0
11231,2,Julie Pierce,Hilary Swank,1
11231,3,Colonel Dugan,Michael Ironside,2
9559,10,Robert 'Butch' Haynes,Kevin Costner,0
9559,14,Chief Red Garnett,Clint Eastwood,1
9559,12,Sally Gerber,Laura Dern,2
9800,21,Andrew Beckett,Tom Hanks,0
9800,20,Joe Mille,Denzel Washington,1
9800,34,Charles Wheeler,Jason Robards,2
713,1,Ada McGrath,Holly Hunter,0
713,2,George Baines,Harvey Keitel,1
713,3,Alisdair Stewart,Sam Neill,2
1245,1,James Stevens,Anthony Hopkins,0
1245,2,Miss Kenton,Emma Thompson,1
1245,3,Lord Darlington,James Fox,2
7007,6,Capt. John Connor,Sean Connery,0
7007,7,Lt. Webster Smith,Wesley Snipes,1
7007,8,Lt. Tom Graham,Harvey Keitel,2
5550,11,RoboCop,Robert John Burke,0
5550,23,Officer Anne Lewis,Nancy Allen,1
5550,12,Casey Wong,Mario Machado,2
8005,1,Robin Hood,Cary Elwes,0
8005,13,Don Giovanni,Dom DeLuise,1
8005,3,Sheriff of Rotingham,Roger Rees,2
14534,1,Daniel E. 'Rudy' Ruettiger,Sean Astin,0
14534,2,D-Bob,Jon Favreau,1
14534,3,Daniel Ruettiger,Ned Beatty,2
424,14,Oskar Schindler,Liam Neeson,0
424,15,Itzhak Stern,Ben Kingsley,1
424,16,Amon Goeth,Ralph Fiennes,2
11236,1,Mary Lennox,Kate Maberly,0
11236,2,Colin Craven,Heydon Prowse,1
11236,3,Dickon,Andrew Knott,2
858,13,Sam Baldwin,Tom Hanks,0
858,14,Annie Reed,Meg Ryan,1
858,15,Walter,Bill Pullman,2
78,6,Rick Deckard,Harrison Ford,0
78,7,Roy Batty,Rutger Hauer,1
78,8,Rachael,Sean Young,2
11074,1,Det. Tom Hardy,Bruce Willis,0
11074,2,Jo Christman,Sarah Jessica Parker,1
11074,3,Capt. Nick Detillo,Dennis Farina,2
9607,11,Mario Mario,Bob Hoskins,0
9607,12,Luigi Mario,John Leguizamo,1
9607,13,King Koopa,Dennis Hopper,2
9479,1,Jack Skellington (singing) / Barrel / Clown with the Tear away Face (voice),Danny Elfman,0
9479,2,Jack Skellington (voice),Chris Sarandon,1
9479,3,Sally / Shock (voice),Catherine O'Hara,2
10057,11,Aramis,Charlie Sheen,0
10057,12,Athos,Kiefer Sutherland,1
10057,13,D'Artagnan,Chris O'Donnell,2
11969,11,Wyatt Earp,Kurt Russell,0
11969,12,Doc Holliday,Val Kilmer,1
11969,13,Virgil Earp,Sam Elliott,2
319,4,Clarence Worley,Christian Slater,0
319,5,Alabama Whitman,Patricia Arquette,1
319,6,Dick Ritchie,Michael Rapaport,2
15139,1,Richard Tyler,Macaulay Culkin,0
15139,2,Mr. Dewey,Christopher Lloyd,1
15139,3,Adventure (voice),Patrick Stewart,2
11655,1,Jesus Gris,Federico Luppi,0
11655,2,Angel de la Guardia,Ron Perlman,1
11655,3,De la Guardia,Claudio Brook,2
10897,35,Alfalfa,Bug Hall,0
10897,1,"George ""Spanky"" McFarland",Travis Tedford,1
10897,25,Darla,Brittany Ashton Holmes,2
771,13,Kevin,Macaulay Culkin,0
771,14,Harry,Joe Pesci,1
771,15,Marv,Daniel Stern,2
251,2,Sam Wheat,Patrick Swayze,0
251,3,Molly Jensen,Demi Moore,1
251,26,Oda Mae Brown,Whoopi Goldberg,2
812,18,"Aladdin ""Al"" (voice)",Scott Weinger,0
812,20,Genie (voice),Robin Williams,1
812,21,Princess Jasmine (voice),Linda Larkin,2
280,1,The Terminator,Arnold Schwarzenegger,0
280,3,Sarah Connor,Linda Hamilton,1
280,6,T-1000,Robert Patrick,2
581,12,Lieutenant Dunbar,Kevin Costner,0
581,13,Stands With A Fist,Mary McDonnell,1
581,14,Kicking Bird,Graham Greene,2
268,5,Jack Napier/The Joker,Jack Nicholson,0
268,4,Bruce Wayne/Batman,Michael Keaton,1
268,6,Vicki Vale,Kim Basinger,2
274,1,Clarice Starling,Jodie Foster,0
